variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
main60_control,control: 현재 최고 main60,main60_cat_batter_team,60,catboost_native_scale106_shift_m008,catboost,1,0.2478203209370681,0.0,795.2564988936595,[],0.0,0/1
phase_numeric,시즌 20단계 구간을 numeric 추가,main61_batter_team_phase,61,catboost_native_scale106_shift_m008,catboost,1,0.2479020803684845,0.0,762.5274499125534,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",8.175943141641717e-05,0/1
phase_categorical,시즌 20단계 구간을 categorical 추가,main61_batter_team_phase_cat,61,catboost_native_scale106_shift_m008,catboost,1,0.2479108842378354,0.0,759.0031804035946,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",9.056330076737118e-05,0/1
pitch_index,시즌 내 투구 순번 추가,main61_batter_team_pitch_index,61,catboost_native_scale106_shift_m008,catboost,1,0.2480377195011171,0.0,708.2298632148709,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.000217398564049,0/1
progress_proxy,시즌 진행도 proxy 추가,main61_batter_team_progress,61,catboost_native_scale106_shift_m008,catboost,1,0.2480683534601823,0.0,695.9668089181137,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0002480325231142,0/1
