variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
count_hands_control,control: EXP_080 CPU count+hands base,main69_cat_count_hands,69,catboost_d8_decay085,catboost,1,0.2475158585285612,0.0,917.1355886609556,[],0.0,0/1
batter_missing,타자 상대 통산 성공률 결측 여부만 추가,main70_cat_count_hands_batter_missing,70,catboost_d8_decay085,catboost,1,0.2475460790762222,0.0,905.0380267344838,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.022054766102511e-05,0/1
all_missing,최근·투수·타자 이력 결측 플래그 3개 동시 추가,main72_cat_count_hands_all_missing,72,catboost_d8_decay085,catboost,1,0.2475621335492031,0.0,898.6112742063401,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",4.627502064186162e-05,0/1
recent_missing,직전 경기 성공률 결측 여부만 추가,main70_cat_count_hands_recent_missing,70,catboost_d8_decay085,catboost,1,0.2475732138774728,0.0,894.1757173490661,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",5.735534891154748e-05,0/1
pitcher_missing,투수 통산 성공률 결측 여부만 추가,main70_cat_count_hands_pitcher_missing,70,catboost_d8_decay085,catboost,1,0.2475897929607218,0.0,887.5389585272563,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",7.393443216058282e-05,0/1
