variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
success_k50,control 대비 투수·타자 당해 시즌 성공률 k=50,main69_season_success_k50,69,catboost_d8_decay085,catboost,1,0.2475295876440522,0.0,911.6396980268338,"['features.custom', 'features.description', 'features.name']",-8.133082358474653e-06,1/1
success_k20_control,control: 투수·타자 당해 시즌 성공률 k=20,main69_pitcher_batter_season_all,69,catboost_d8_decay085,catboost,1,0.2475377207264107,0.0,908.3839506926596,[],0.0,0/1
success_k100,control 대비 투수·타자 당해 시즌 성공률 k=100,main69_season_success_k100,69,catboost_d8_decay085,catboost,1,0.2475426313636895,0.0,906.418177628432,"['features.custom', 'features.description', 'features.name']",4.910637278754404e-06,0/1
success_k10,control 대비 투수·타자 당해 시즌 성공률 k=10,main69_season_success_k10,69,catboost_d8_decay085,catboost,1,0.2475565977005259,0.0,900.827325117748,"['features.custom', 'features.description', 'features.name']",1.887697411520617e-05,0/1
success_k5,control 대비 투수·타자 당해 시즌 성공률 k=5,main69_season_success_k5,69,catboost_d8_decay085,catboost,1,0.2475822746623475,0.0,890.5486022036224,"['features.custom', 'features.description', 'features.name']",4.455393593683077e-05,0/1
