variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
late_all_three,EXP_090 reference: add all three late-inning pitcher-history interactions,main75_same_pitchmix_late_history,75,catboost_d8_decay085,catboost,1,0.2475015772625867,0.0,922.8525101890984,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.0289375639016551e-05,1/1
late_success_reverse,add late success and reverse interactions,main74_same_pitchmix_late_success_reverse,74,catboost_d8_decay085,catboost,1,0.2475064190950211,0.0,920.9142803340288,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-5.447543204584182e-06,1/1
same_hand_control,control: EXP_090 same-hand pitch-mix base,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475118666382257,0.0,918.7335789118011,[],0.0,0/1
late_reverse_middle,add late reverse and middle interactions,main74_same_pitchmix_late_reverse_middle,74,catboost_d8_decay085,catboost,1,0.2475291827428739,0.0,911.801783675792,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.7316104648168462e-05,0/1
late_success_middle,add late success and middle interactions,main74_same_pitchmix_late_success_middle,74,catboost_d8_decay085,catboost,1,0.2475364068216662,0.0,908.9099187919226,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.454018344050235e-05,0/1
late_middle_only,add late_inning_x_pitcher_middle only,main73_same_pitchmix_late_middle,73,catboost_d8_decay085,catboost,1,0.2475390421688628,0.0,907.8549651800104,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.7175530637135736e-05,0/1
late_success_only,add late_inning_x_pitcher_success only,main73_same_pitchmix_late_success,73,catboost_d8_decay085,catboost,1,0.2475442046457956,0.0,905.788378396466,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.233800756988203e-05,0/1
late_reverse_only,add late_inning_x_pitcher_reverse only,main73_same_pitchmix_late_reverse,73,catboost_d8_decay085,catboost,1,0.24754533528797,0.0,905.33577198193,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.346864974432262e-05,0/1
