variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
count_hands_cat,control 대비 count_state와 양손 코드를 categorical 추가,main69_cat_count_hands,69,catboost_d8_decay085,catboost,1,0.2475158585285612,0.0,917.1355886609556,"['features.categorical', 'features.description', 'features.name']",-2.186219784949817e-05,1/1
main69_control,control: 문자열 3개와 batter_team만 categorical,main69_pitcher_batter_season_all,69,catboost_d8_decay085,catboost,1,0.2475377207264107,0.0,908.3839506926596,[],0.0,0/1
count_state_cat,control 대비 count_state만 categorical 추가,main69_cat_count_state,69,catboost_d8_decay085,catboost,1,0.2475409807725688,0.0,907.0789243667664,"['features.categorical', 'features.description', 'features.name']",3.260046158082286e-06,0/1
pitcher_team_cat,control 대비 pitcher_team_id만 categorical 추가,main69_cat_pitcher_team,69,catboost_d8_decay085,catboost,1,0.2475480136523516,0.0,904.2635981970082,"['features.categorical', 'features.description', 'features.name']",1.029292594093012e-05,0/1
hands_cat,control 대비 pitcher_hand·batter_hand만 categorical 추가,main69_cat_hands,69,catboost_d8_decay085,catboost,1,0.2475485498839219,0.0,904.0489397897144,"['features.categorical', 'features.description', 'features.name']",1.082915751121627e-05,0/1
calendar_cat,control 대비 game_month·game_dayofweek만 categorical 추가,main69_cat_calendar,69,catboost_d8_decay085,catboost,1,0.2475972212884692,0.0,884.5653309165647,"['features.categorical', 'features.description', 'features.name']",5.950056205852872e-05,0/1
