variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
add_scoring_position_x_li,scoring_position_x_li 단독 추가,main61_add_scoring_position_x_li,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478023881064118,0.0,802.4351751974135,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.6593264913850048e-05,1/1
add_pitcher_reverse_rate_shrunk,pitcher_reverse_rate_shrunk 단독 추가,main61_add_pitcher_reverse_rate_shrunk,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478039638303854,0.0,801.8043984635459,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.5017540940270855e-05,1/1
add_log1p_li,log1p_li 단독 추가,main61_add_log1p_li,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478118812538015,0.0,798.6349813785876,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-7.10011752422246e-06,1/1
add_batter_history_missing,batter_history_missing 단독 추가,main61_add_batter_history_missing,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478139652603913,0.0,797.8007344596194,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-5.016110934397133e-06,1/1
add_scoring_position,scoring_position 단독 추가,main61_add_scoring_position,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478176467311544,0.0,796.3270080057927,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.334640171296586e-06,1/1
add_recent_history_missing,recent_history_missing 단독 추가,main61_add_recent_history_missing,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478181461160567,0.0,796.1270996570624,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-8.352552690049642e-07,1/1
main60_control,control: GPU main60,main60_cat_batter_team,60,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478189813713257,0.0,795.7927393253294,[],0.0,0/1
add_pitcher_team_win_expectancy,pitcher_team_win_expectancy 단독 추가,main61_add_pitcher_team_win_expectancy,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478198728845995,0.0,795.4358583991627,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",8.915132738429588e-07,0/1
add_pitcher_history_missing,pitcher_history_missing 단독 추가,main61_add_pitcher_history_missing,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478199009424054,0.0,795.4246266025589,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",9.195710797549328e-07,0/1
add_success_minus_reverse,success_minus_reverse 단독 추가,main61_add_success_minus_reverse,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478257569530668,0.0,793.0804119175017,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",6.775581741086389e-06,0/1
add_log1p_batter_n,log1p_batter_n 단독 추가,main61_add_log1p_batter_n,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478266382068646,0.0,792.7276379535164,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",7.656835538910611e-06,0/1
add_pitcher_success_rate_shrunk,pitcher_success_rate_shrunk 단독 추가,main61_add_pitcher_success_rate_shrunk,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478284938154757,0.0,791.9848208366109,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",9.512444150067134e-06,0/1
add_log1p_pitcher_n,log1p_pitcher_n 단독 추가,main61_add_log1p_pitcher_n,61,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2478292900247892,0.0,791.6660909583761,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.03086534635477e-05,0/1
