variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
track_velocity,add official Trackman relative-speed and zone-speed context,main74_same_pitchmix_track_velocity,74,catboost_d8_decay085,catboost,1,0.2475086986091755,0.0,920.001769946932,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-3.168029050260035e-06,1/1
same_pitchmix_control,control: latest CPU main72 without Trackman context,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475118666382257,0.0,918.7335789118011,[],0.0,0/1
track_extension,add official Trackman extension context only,main73_same_pitchmix_track_extension,73,catboost_d8_decay085,catboost,1,0.2475421964739446,0.0,906.592267975126,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.032983571890635e-05,0/1
track_movement,"add official Trackman spin, vertical-break, and horizontal-break context",main75_same_pitchmix_track_movement,75,catboost_d8_decay085,catboost,1,0.2475501826889503,0.0,903.3953129869988,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.8316050724546136e-05,0/1
track_all_physics,add all six official Trackman physics context aggregates,main78_same_pitchmix_track_physics,78,catboost_d8_decay085,catboost,1,0.247583442510082,0.0,890.0811020627675,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",7.157587185627201e-05,0/1
