variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
batter_middle,타자 middle 단기 창 추가,main81_add_batter_middle_short,81,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2469277855337399,0.0,1152.5465928537426,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-9.258989911054004e-06,1/1
main77_control,control: success+reverse 최고 조합,main77_add_pitcher_reverse_short,77,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.246937044523651,0.0,1148.840134417517,[],0.0,0/1
all_state,투수 middle·ball 및 타자 middle 단기 창 모두 추가,main89_add_all_state_short,89,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2469383064617201,0.0,1148.3349690542211,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.2619380690692683e-06,0/1
pitcher_ball,투수 ball 단기 창 추가,main81_add_pitcher_ball_short,81,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2469600908087469,0.0,1139.6144954830322,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.3046285095917884e-05,0/1
pitcher_middle,투수 middle 단기 창 추가,main81_add_pitcher_middle_short,81,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2469617910305555,0.0,1138.9338811259142,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.4746506904482768e-05,0/1
pitcher_middle_ball,투수 middle·ball 단기 창 추가,main85_add_pitcher_middle_ball_short,85,catboost_gpu_d6_i600_lr025_b128,catboost,1,0.2469620854390603,0.0,1138.816026705858,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.5040915409280107e-05,0/1
