variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
all_count_numeric,count 5개 전체 numeric,main55_plus_count,60,catboost_native_shift_m010,catboost,1,0.2478754922836092,0.0,773.1709037272716,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-4.520480517755665e-05,1/1
add_two_outs,has_two_outs 단독 추가,main55_plus_has_two_outs,56,catboost_native_shift_m010,catboost,1,0.2478916595346815,0.0,766.6990050965161,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-2.903755410524345e-05,1/1
main55_control,control: main55 + shift,main55,55,catboost_native_shift_m010,catboost,1,0.2479206970887867,0.0,755.0750063218482,[],0.0,0/1
add_two_strikes,has_two_strikes 단독 추가,main55_plus_has_two_strikes,56,catboost_native_shift_m010,catboost,1,0.2479297543615939,0.0,751.4492970891906,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",9.057272807228012e-06,0/1
add_three_balls,has_three_balls 단독 추가,main55_plus_has_three_balls,56,catboost_native_shift_m010,catboost,1,0.2479420846005906,0.0,746.5133895238063,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.1387511803888648e-05,0/1
add_count_state,count_state 단독 추가,main55_plus_count_state,56,catboost_native_shift_m010,catboost,1,0.2479430492525142,0.0,746.1272305264611,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.235216372753479e-05,0/1
count_state_categorical,count 5개 전체에서 count_state만 native categorical,main55_plus_count_categorical,60,catboost_native_shift_m010,catboost,1,0.247953241223939,0.0,742.0472910479758,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",3.254413515227372e-05,0/1
add_full_count,is_full_count 단독 추가,main55_plus_is_full_count,56,catboost_native_shift_m010,catboost,1,0.2479602447716809,0.0,739.24370676276,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.954768289421429e-05,0/1
