variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
history_reliability,add six row-local reliability and reliability-weighted rate features only,main78_history_reliability,78,catboost_d8_decay085_sub08,catboost,1,0.2474879925802901,0.0,928.2905828930654,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.617892091540507e-05,1/1
main72_control,control: EXP_109 CPU winner,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085_sub08,catboost,1,0.2475041715012055,0.0,921.8140127172704,[],0.0,0/1
history_buckets,add pitcher/batter as-of history-size categorical buckets only,main74_history_buckets,74,catboost_d8_decay085_sub08,catboost,1,0.2475627869730184,0.0,898.3497026703424,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",5.861547181290616e-05,0/1
buckets_plus_reliability,add both history-size buckets and reliability features,main80_history_buckets_reliability,80,catboost_d8_decay085_sub08,catboost,1,0.2475649744088515,0.0,897.4740520783175,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",6.080290764598484e-05,0/1
