variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
cat_control,control: CPU CatBoost,main80_add_best_ewm,80,catboost_top_d6_i400_lr040,catboost,1,0.2469303451282629,0.0,1151.521963730684,[],0.0,0/1
hist63,HistGradientBoosting leaves63,main80_add_best_ewm,80,histgb_leaf63,hist_gradient_boosting,1,0.2471023728457305,0.0,1082.6576933515298,"['model.family', 'model.name', 'model.native_categorical', 'model.params.allow_writing_files', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.l2_regularization', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_iter', 'model.params.max_leaf_nodes', 'model.params.min_samples_leaf', 'model.params.random_seed', 'model.params.random_state', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.prediction_scale', 'model.prediction_shift']",0.0001720277174676,0/1
hist31,HistGradientBoosting leaves31,main80_add_best_ewm,80,histgb_leaf31,hist_gradient_boosting,1,0.2471489437747573,0.0,1064.0149240611186,"['model.family', 'model.name', 'model.native_categorical', 'model.params.allow_writing_files', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.l2_regularization', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_iter', 'model.params.max_leaf_nodes', 'model.params.min_samples_leaf', 'model.params.random_seed', 'model.params.random_state', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.prediction_scale', 'model.prediction_shift']",0.0002185986464943,0/1
lgb31,LightGBM leaves31,main80_add_best_ewm,80,lightgbm_l31,lightgbm,1,0.2471646520144038,0.0,1057.7267719068084,"['model.family', 'model.name', 'model.native_categorical', 'model.params.allow_writing_files', 'model.params.colsample_bytree', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_depth', 'model.params.min_child_samples', 'model.params.n_estimators', 'model.params.n_jobs', 'model.params.num_leaves', 'model.params.random_seed', 'model.params.random_state', 'model.params.reg_lambda', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.params.verbose', 'model.params.verbosity', 'model.prediction_scale', 'model.prediction_shift']",0.0002343068861408,0/1
lgb63,LightGBM leaves63,main80_add_best_ewm,80,lightgbm_l63,lightgbm,1,0.2472023779948393,0.0,1042.6247165213565,"['model.family', 'model.name', 'model.native_categorical', 'model.params.allow_writing_files', 'model.params.colsample_bytree', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_depth', 'model.params.min_child_samples', 'model.params.n_estimators', 'model.params.n_jobs', 'model.params.num_leaves', 'model.params.random_seed', 'model.params.random_state', 'model.params.reg_lambda', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.params.verbose', 'model.params.verbosity', 'model.prediction_scale', 'model.prediction_shift']",0.0002720328665763,0/1
lgb127,LightGBM leaves127,main80_add_best_ewm,80,lightgbm_l127,lightgbm,1,0.2473271084489258,0.0,992.6939737249564,"['model.family', 'model.name', 'model.native_categorical', 'model.params.allow_writing_files', 'model.params.colsample_bytree', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_depth', 'model.params.min_child_samples', 'model.params.n_estimators', 'model.params.n_jobs', 'model.params.num_leaves', 'model.params.random_seed', 'model.params.random_state', 'model.params.reg_lambda', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.params.verbose', 'model.params.verbosity', 'model.prediction_scale', 'model.prediction_shift']",0.0003967633206628,0/1
logistic,LogisticRegression C0.01,main80_add_best_ewm,80,logistic_c01,logistic_regression,1,0.2479218181532144,0.0,754.6262339670374,"['model.family', 'model.name', 'model.native_categorical', 'model.params.C', 'model.params.allow_writing_files', 'model.params.depth', 'model.params.eval_metric', 'model.params.iterations', 'model.params.l2_leaf_reg', 'model.params.learning_rate', 'model.params.loss_function', 'model.params.max_iter', 'model.params.random_seed', 'model.params.random_state', 'model.params.solver', 'model.params.subsample', 'model.params.task_type', 'model.params.thread_count', 'model.params.tol', 'model.prediction_scale', 'model.prediction_shift']",0.0009914730249514,0/1
