variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
main78_control,control: six-feature history reliability winner,main78_history_reliability,78,catboost_d8_decay085_sub08,catboost,1,0.2474879925802901,0.0,928.2905828930654,[],0.0,0/1
add_all_extended_rates,add all five extended reliability-weighted rates,main83_reliability_all_rates,83,catboost_d8_decay085_sub08,catboost,1,0.2475146996150761,0.0,917.599512340006,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",2.6707034785994344e-05,0/1
add_pitchmix_reliability,"add reliability-weighted fastball, breaking, and offspeed rates only",main81_reliability_pitchmix,81,catboost_d8_decay085_sub08,catboost,1,0.2475427071154932,0.0,906.3878534878112,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",5.471453520311531e-05,0/1
add_ball_strike_reliability,add reliability-weighted pitcher ball and strike rates only,main80_reliability_ball_strike,80,catboost_d8_decay085_sub08,catboost,1,0.2475507628498184,0.0,903.1630692795555,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",6.277026952830611e-05,0/1
