variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
full_count_history,풀카운트×투수 성공·반대·가운데 이력 3개,main75_same_pitchmix_full_count_history,75,catboost_d8_decay085,catboost,1,0.247507849974981,0.0,920.3414859850434,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-4.016663244760244e-06,1/1
same_hand_control,control: EXP_084 CPU same-hand pitchmix,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475118666382257,0.0,918.7335789118011,[],0.0,0/1
two_strike_history,2스트라이크×투수 성공·반대·가운데 이력 3개,main75_same_pitchmix_two_strike_history,75,catboost_d8_decay085,catboost,1,0.2475119266866867,0.0,918.7095409630808,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",6.004846095364337e-08,0/1
all_pressure_history,세 압박 상태의 9개 교호항 모두 추가,main81_same_pitchmix_count_pressure_history,81,catboost_d8_decay085,catboost,1,0.2475300383917467,0.0,911.4592595977132,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.817175352100686e-05,0/1
three_ball_history,3볼×투수 성공·반대·가운데 이력 3개,main75_same_pitchmix_three_ball_history,75,catboost_d8_decay085,catboost,1,0.2475421358088616,0.0,906.6165527632952,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.026917063592149e-05,0/1
