variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
same_pitchmix_control,control: current CPU main72,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475118666382257,0.0,918.7335789118011,[],0.0,0/1
pressure_effect,add season-OOF official-train inning x count x outs x runners target effect,main73_same_pitchmix_pressure_effect,73,catboost_d8_decay085,catboost,1,0.2475219057382366,0.0,914.7148352599554,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.0039100010933444e-05,0/1
count_hands_effect,add season-OOF official-train count x hands target effect,main73_same_pitchmix_count_hands_effect,73,catboost_d8_decay085,catboost,1,0.2475301012536732,0.0,911.4340953930044,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.8234615447448865e-05,0/1
count_out_base_effect,add season-OOF official-train count x outs x base target effect,main73_same_pitchmix_count_out_base_effect,73,catboost_d8_decay085,catboost,1,0.2475498554077287,0.0,903.526326656534,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",3.798876950303343e-05,0/1
all_context_effects,add all four season-OOF official-train context target effects,main76_same_pitchmix_all_context_effects,76,catboost_d8_decay085,catboost,1,0.247892506733847,0.0,766.3598635136548,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0003806400956212,0/1
inning_game_effect,add season-OOF official-train inning x half x game-type target effect,main73_same_pitchmix_inning_game_effect,73,catboost_d8_decay085,catboost,1,0.2479115664415166,0.0,758.7300880238179,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0003996998032908,0/1
