variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
d8_i300_control,"control: reliability CPU depth8, 300 trees, lr0.035",main78_history_reliability,78,catboost_d8_decay085_sub08,catboost,1,0.2474879925802901,0.0,928.2905828930654,[],0.0,0/1
d8_i450_lr025,depth8/300/lr.035 -> depth8/450/lr.025 schedule,main78_history_reliability,78,catboost_d8_i450_lr025_decay085_sub08,catboost,1,0.2475041967147358,0.0,921.8039195102446,"['model.name', 'model.params.iterations', 'model.params.learning_rate']",1.6204134445668705e-05,0/1
d9_i220_lr03,depth8/300/lr.035 -> depth9/220/lr.03 schedule,main78_history_reliability,78,catboost_d9_i220_lr03_decay085_sub08,catboost,1,0.2475363620453,0.0,908.9278431813063,"['model.name', 'model.params.depth', 'model.params.iterations', 'model.params.learning_rate']",4.8369465009856505e-05,0/1
d7_i450_lr03,depth8/300/lr.035 -> depth7/450/lr.03 schedule,main78_history_reliability,78,catboost_d7_i450_lr03_decay085_sub08,catboost,1,0.2475412223549533,0.0,906.9822167263152,"['model.name', 'model.params.depth', 'model.params.iterations', 'model.params.learning_rate']",5.3229774663238194e-05,0/1
