variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
main60_control,control: main55 + count 5개,main55_plus_count,60,catboost_native_300,catboost,1,0.2479681399223257,0.0,736.0832056720667,[],0.0,0/1
drop_count_redundancy,count_state와 중복되는 count_diff·count_total 제거,main60_no_count_redundancy,58,catboost_native_300,catboost,1,0.248013550286547,0.0,717.9050210993521,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",4.541036422125999e-05,0/1
drop_recent_gaps,최근 성공률과 커리어 차이 3개 제거,main60_no_gaps,57,catboost_native_300,catboost,1,0.2480241884113282,0.0,713.6464823473299,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",5.604848900245263e-05,0/1
drop_low_context_custom,저중요도 context 상호작용 5개 제거,main60_no_low_context,55,catboost_native_300,catboost,1,0.2480306371916887,0.0,711.0649765243227,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",6.249726936294331e-05,0/1
keep_core_custom,상대적으로 중요한 custom 7개와 count 5개만 유지,main60_core_custom,53,catboost_native_300,catboost,1,0.248042377516987,0.0,706.3652168135759,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",7.423759466132496e-05,0/1
keep_count_only,기존 custom14를 모두 제거하고 count 5개만 유지,selected41_plus_count,46,catboost_native_300,catboost,1,0.2481566247362394,0.0,660.6310089052437,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0001884848139136,0/1
