variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
count_hands_control,control: count_state와 양손 categorical,main69_cat_count_hands,69,catboost_d8_decay085,catboost,1,0.2475158585285612,0.0,917.1355886609556,[],0.0,0/1
add_runners,control에 num_runners_on categorical 추가,main69_cat_count_hands_runners,69,catboost_d8_decay085,catboost,1,0.2475296547826967,0.0,911.612821812746,"['features.categorical', 'features.description', 'features.name']",1.379625413547303e-05,0/1
add_pitcher_team,control에 pitcher_team_id categorical 추가,main69_cat_count_hands_pitcher_team,69,catboost_d8_decay085,catboost,1,0.2475371454418597,0.0,908.614242365724,"['features.categorical', 'features.description', 'features.name']",2.128691329844612e-05,0/1
add_inning,control에 inning categorical 추가,main69_cat_count_hands_inning,69,catboost_d8_decay085,catboost,1,0.2475604769692399,0.0,899.2744183331624,"['features.categorical', 'features.description', 'features.name']",4.46184406786565e-05,0/1
add_raw_count,control에 balls_before·strikes_before categorical 추가,main69_cat_count_hands_raw_count,69,catboost_d8_decay085,catboost,1,0.2475604989470957,0.0,899.2656203962723,"['features.categorical', 'features.description', 'features.name']",4.464041853444178e-05,0/1
add_outs,control에 outs_before categorical 추가,main69_cat_count_hands_outs,69,catboost_d8_decay085,catboost,1,0.2475678016441443,0.0,896.342283904572,"['features.categorical', 'features.description', 'features.name']",5.194311558309739e-05,0/1
add_month,control에 game_month categorical 추가,main69_cat_count_hands_month,69,catboost_d8_decay085,catboost,1,0.2475688500831387,0.0,895.9225841756569,"['features.categorical', 'features.description', 'features.name']",5.2991554577525024e-05,0/1
