variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
same_hand_pitchmix,동일손 여부×과거 구종군 비율 3개 추가,main72_cat_count_hands_same_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475118666382257,0.0,918.7335789118011,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-3.991890335508508e-06,1/1
count_hands_control,control: EXP_080 CPU count+hands base,main69_cat_count_hands,69,catboost_d8_decay085,catboost,1,0.2475158585285612,0.0,917.1355886609556,[],0.0,0/1
separate_hands_pitchmix,투수손·타자손 각각과 과거 구종군 비율 6개 추가,main75_cat_count_hands_separate_pitchmix,75,catboost_d8_decay085,catboost,1,0.2475695932192441,0.0,895.625099988584,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",5.373469068284398e-05,0/1
hand_matchup_category,네 가지 투수손×타자손 조합 categorical 추가,main70_cat_count_hands_matchup,70,catboost_d8_decay085,catboost,1,0.2475757254284122,0.0,893.1703205124041,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",5.986689985093552e-05,0/1
full_matchup_pitchmix,네 손 조합 indicator×세 과거 구종군 비율 12개 추가,main81_cat_count_hands_full_pitchmix,81,catboost_d8_decay085,catboost,1,0.2476140230337623,0.0,877.8394384398425,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",9.816450520111486e-05,0/1
