variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
residual_scale_1_control,control: EXP_102 residual scale 1.0,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15,cat_cpu_gpu_extra_blend,1,0.2474632890071994,0.0,938.1796493858952,[],0.0,0/1
residual_scale_0p75,multiply train-only count residual offsets by 0.75,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15_r0p75,cat_cpu_gpu_extra_blend,1,0.2474635049004173,0.0,938.0932253540864,"['model.name', 'model.residual_scale']",2.15893217830887e-07,0/1
residual_scale_1p25,multiply train-only count residual offsets by 1.25,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15_r1p25,cat_cpu_gpu_extra_blend,1,0.2474641138083764,0.0,937.8494739229136,"['model.name', 'model.residual_scale']",8.248011769684815e-07,0/1
residual_scale_0p5,multiply train-only count residual offsets by 0.5,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15_r0p5,cat_cpu_gpu_extra_blend,1,0.2474647614880299,0.0,937.5902018274874,"['model.name', 'model.residual_scale']",1.472480830488898e-06,0/1
residual_scale_1p5,multiply train-only count residual offsets by 1.5,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15_r1p5,cat_cpu_gpu_extra_blend,1,0.2474659793039482,0.0,937.102698965142,"['model.name', 'model.residual_scale']",2.690296748764087e-06,0/1
residual_scale_2p0,multiply train-only count residual offsets by 2.0,main72_cat_count_hands_same_pitchmix,72,triple_group_count_k500_shift_m0095_w50_35_15_r2,cat_cpu_gpu_extra_blend,1,0.2474728323782762,0.0,934.3593505652392,"['model.name', 'model.residual_scale']",9.543371076808915e-06,0/1
