variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
batter_lags,타자 lag2·3 추가,main87_add_batter_lags,87,catboost_gpu_d6_i900_bag0,catboost,1,0.2468635713561019,0.0,1178.2521161039394,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.938093020650844e-05,1/1
pitcher_lags,투수 lag2·3·5 추가,main88_add_pitcher_lags,88,catboost_gpu_d6_i900_bag0,catboost,1,0.2468666997878942,0.0,1176.9997762137164,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.6252498414193184e-05,1/1
lags_patterns_cat,모든 lag + 최근 3개 패턴 categorical 추가,main92_add_lags_patterns_cat,92,catboost_gpu_d6_i900_bag0,catboost,1,0.2468718763318731,0.0,1174.927558262773,"['features.categorical', 'features.custom', 'features.description', 'features.expected_count', 'features.name']",-1.1075954435224578e-05,1/1
entity_lags,투수·타자 lag 모두 추가,main90_add_entity_lags,90,catboost_gpu_d6_i900_bag0,catboost,1,0.2468801851347594,0.0,1171.601468392447,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-2.767151549010194e-06,1/1
main85_control,control: main85 bag0,main85_add_plate_context,85,catboost_gpu_d6_i900_bag0,catboost,1,0.2468829522863084,0.0,1170.4937522914793,[],0.0,0/1
patterns_numeric,투수·타자 최근 3개 패턴 numeric 추가,main87_add_patterns,87,catboost_gpu_d6_i900_bag0,catboost,1,0.246890943891996,0.0,1167.2946393640138,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",7.99160568759616e-06,0/1
