variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
season_pitchmix,현재 시즌 fastball·breaking·offspeed 비율 추가,main72_season_pitchmix,72,catboost_d8_decay085,catboost,1,0.2475347024102909,0.0,909.5922102709598,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",-3.018316119790532e-06,1/1
main69_control,control: EXP_060 최고 CatBoost,main69_pitcher_batter_season_all,69,catboost_d8_decay085,catboost,1,0.2475377207264107,0.0,908.3839506926596,[],0.0,0/1
readd_prev5,제외했던 prev5 game success 원시값 재추가,main70_readd_prev5,70,catboost_d8_decay085,catboost,1,0.2475495005336642,0.0,903.6683859937722,"['features.description', 'features.exclude', 'features.expected_count', 'features.name']",1.1779807253503582e-05,0/1
readd_strike_fast,제외했던 커리어 strike·fastball 원시값 재추가,main71_readd_strike_fast,71,catboost_d8_decay085,catboost,1,0.2475499099218439,0.0,903.5045041571154,"['features.description', 'features.exclude', 'features.expected_count', 'features.name']",1.2189195433165434e-05,0/1
all_readded_pitchmix,원시값 3개와 현재 시즌 pitchmix 3개를 모두 추가,main75_readd_and_season_pitchmix,75,catboost_d8_decay085,catboost,1,0.2475699089518818,0.0,895.4987093228394,"['features.custom', 'features.description', 'features.exclude', 'features.expected_count', 'features.name']",3.218822547113032e-05,0/1
