variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
main69_control,control: 합법 main69,main69_pitcher_batter_season_all,69,catboost_d8_decay085,catboost,1,0.2475377207264107,0.0,908.3839506926596,[],0.0,0/1
count_out_base_season_oof,season-OOF 볼카운트×아웃×주자 효과,main70_count_out_base_effect,70,catboost_d8_decay085,catboost,1,0.247552330439113,0.0,902.5355489321709,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.4609712702257084e-05,0/1
count_hands_season_oof,season-OOF 볼카운트×손 조합 효과,main70_count_hands_effect,70,catboost_d8_decay085,catboost,1,0.2475535919172037,0.0,902.0305677024276,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",1.587119079299315e-05,0/1
game_pressure_season_oof,season-OOF 경기·압박 효과,main71_game_pressure_effects,71,catboost_d8_decay085,catboost,1,0.2476868746221101,0.0,848.676280598859,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0001491538956993,0/1
all_context_season_oof,season-OOF 네 상황 효과 전체,main73_all_context_effects,73,catboost_d8_decay085,catboost,1,0.2477572200518586,0.0,820.5163609914412,"['features.custom', 'features.description', 'features.expected_count', 'features.name']",0.0002194993254478,0/1
