variant,change,feature_set,feature_count,model,model_family,fold_count,mean_brier,std_brier,mean_brier_skill_score,changed_fields_vs_control,delta_brier_vs_control,seasons_improved
count_trend_strength_100,add 100% of official-train centered count season trend,main78_history_reliability,78,triple_count_trend_s100,cat_cpu_gpu_extra_blend,1,0.2474451413791715,0.0,945.444311044219,"['model.name', 'model.trend_group_columns', 'model.trend_shrinkage', 'model.trend_strength']",-6.376167141441957e-06,1/1
count_trend_strength_050,add 50% of official-train centered count season trend,main78_history_reliability,78,triple_count_trend_s050,cat_cpu_gpu_extra_blend,1,0.247446805778932,0.0,944.7780365809176,"['model.name', 'model.trend_group_columns', 'model.trend_shrinkage', 'model.trend_strength']",-4.711767380899401e-06,1/1
count_trend_strength_025,add 25% of official-train centered count season trend,main78_history_reliability,78,triple_count_trend_s025,cat_cpu_gpu_extra_blend,1,0.2474487807416699,0.0,943.9874409142734,"['model.name', 'model.trend_group_columns', 'model.trend_shrinkage', 'model.trend_strength']",-2.736804642994306e-06,1/1
count_control,control: fixed EXP_117 triple with 2023 OOT count residual,main78_history_reliability,78,triple_count_m0095_sub08_w50_35_15,cat_cpu_gpu_extra_blend,1,0.2474515175463129,0.0,942.8918729576408,[],0.0,0/1
